981.149	1002.636	0.025	-0.012
981.151	1002.634	0.003	-0.001
981.151	1002.634	-0.013	0.006
981.15	1002.635	-0.02	0.009
981.148	1002.636	-0.015	0.007
981.147	1002.636	-0.003	0.002
981.146	1002.636	0.008	-0.004
981.147	1002.636	0.018	-0.009
981.149	1002.635	0.025	-0.011
981.151	1002.634	0.024	-0.011
981.154	1002.633	0.021	-0.01
981.156	1002.632	0.017	-0.008
981.158	1002.632	0.006	-0.003
981.158	1002.631	0	0
981.158	1002.631	0.005	-0.002
981.159	1002.631	0.012	-0.005
981.16	1002.63	0.015	-0.007
981.161	1002.63	0.012	-0.006
981.162	1002.629	0.01	-0.005
981.164	1002.629	0.004	-0.002
981.164	1002.629	-0.002	0.001
981.164	1002.629	-0.007	0.003
981.163	1002.629	-0.01	0.005
981.162	1002.629	-0.014	0.007
981.161	1002.63	-0.025	0.012
981.158	1002.631	-0.037	0.017
981.154	1002.633	-0.046	0.021
981.15	1002.635	-0.05	0.023
981.145	1002.637	-0.046	0.021
981.14	1002.639	-0.027	0.013
981.137	1002.64	0.001	0
981.137	1002.64	0.026	-0.012
981.14	1002.639	0.033	-0.015
981.144	1002.638	0.026	-0.012
981.146	1002.637	0.02	-0.009
981.148	1002.636	0.015	-0.007
981.15	1002.635	0.014	-0.007
981.151	1002.634	0.013	-0.006
981.152	1002.634	0.013	-0.006
981.154	1002.633	0.013	-0.006
981.155	1002.633	0.014	-0.007
981.156	1002.632	0.018	-0.008
981.158	1002.631	0.024	-0.011
981.161	1002.63	0.034	-0.016
981.164	1002.628	0.042	-0.02
981.168	1002.627	0.047	-0.022
981.173	1002.624	0.044	-0.02
981.177	1002.623	0.029	-0.014
981.18	1002.621	0.009	-0.004
981.181	1002.621	-0.015	0.007
981.18	1002.621	-0.04	0.019
981.176	1002.623	-0.062	0.029
981.169	1002.626	-0.077	0.036
981.162	1002.629	-0.076	0.035
981.154	1002.633	-0.06	0.028
981.148	1002.635	-0.032	0.015
981.145	1002.637	-0.003	0.001
981.144	1002.637	0.022	-0.01
981.147	1002.636	0.036	-0.017
981.15	1002.635	0.039	-0.018
981.154	1002.633	0.035	-0.016
981.158	1002.631	0.028	-0.013
981.161	1002.63	0.019	-0.009
981.163	1002.629	0.007	-0.003
981.163	1002.629	-0.002	0.001
981.163	1002.629	-0.01	0.005
981.162	1002.629	-0.021	0.01
981.16	1002.63	-0.034	0.016
981.157	1002.632	-0.05	0.023
981.151	1002.634	-0.067	0.031
981.145	1002.637	-0.084	0.039
981.136	1002.641	-0.097	0.045
981.127	1002.645	-0.101	0.047
981.116	1002.65	-0.102	0.047
981.106	1002.654	-0.089	0.041
981.097	1002.658	-0.07	0.033
981.09	1002.662	-0.047	0.022
981.085	1002.664	-0.028	0.013
981.083	1002.665	-0.011	0.005
981.082	1002.665	0.012	-0.006
981.083	1002.665	0.04	-0.019
981.087	1002.663	0.062	-0.029
981.093	1002.66	0.081	-0.037
